id,index,period,timestamp,minute,second,possession,duration,type.id,type.name,possession_team.id,possession_team.name,play_pattern.id,play_pattern.name,team.id,team.name,tactics.formation,tactics.lineup,related_events,location,player.id,player.name,position.id,position.name,pass.recipient.id,pass.recipient.name,pass.length,pass.angle,pass.height.id,pass.height.name,pass.end_location,pass.type.id,pass.type.name,pass.body_part.id,pass.body_part.name,carry.end_location,under_pressure,duel.type.id,duel.type.name,out,miscontrol.aerial_won,pass.outcome.id,pass.outcome.name,ball_receipt.outcome.id,ball_receipt.outcome.name,pass.aerial_won,counterpress,off_camera,dribble.outcome.id,dribble.outcome.name,dribble.overrun,ball_recovery.offensive,shot.statsbomb_xg,shot.end_location,shot.outcome.id,shot.outcome.name,shot.type.id,shot.type.name,shot.body_part.id,shot.body_part.name,shot.technique.id,shot.technique.name,shot.freeze_frame,goalkeeper.end_location,goalkeeper.type.id,goalkeeper.type.name,goalkeeper.position.id,goalkeeper.position.name,pass.straight,pass.technique.id,pass.technique.name,clearance.head,clearance.body_part.id,clearance.body_part.name,pass.switch,duel.outcome.id,duel.outcome.name,foul_committed.advantage,foul_won.advantage,pass.cross,pass.assisted_shot_id,pass.shot_assist,shot.one_on_one,shot.key_pass_id,goalkeeper.body_part.id,goalkeeper.body_part.name,goalkeeper.technique.id,goalkeeper.technique.name,goalkeeper.outcome.id,goalkeeper.outcome.name,clearance.aerial_won,foul_committed.card.id,foul_committed.card.name,foul_won.defensive,clearance.right_foot,shot.first_time,pass.through_ball,interception.outcome.id,interception.outcome.name,clearance.left_foot,ball_recovery.recovery_failure,shot.aerial_won,pass.goal_assist,pass.cut_back,pass.deflected,clearance.other,pass.outswinging,substitution.outcome.id,substitution.outcome.name,substitution.replacement.id,substitution.replacement.name,block.deflection,block.offensive,injury_stoppage.in_chain,location_x,location_y,location_z,pass.end_location_x,pass.end_location_y,carry.end_location_x,carry.end_location_y,shot.end_location_x,shot.end_location_y,shot.end_location_z,goalkeeper.end_location_x,goalkeeper.end_location_y
cc61dff2-0d59-4cda-a270-805cef3b9ce6,2661,2,00:28:47.729,73,47,129,,42,Ball Receipt*,50,Reading,4,From Throw In,50,Reading,,,['5717beb2-1f05-460e-983a-e41da3b34703'],"[74, 1.2]",9534.0,Omatsone Folarin Aluko,13.0,Right Center Midfield,,,,,,,,,,,,,,,,,,,,9.0,Incomplete,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,74.0,1.2,,,,,,,,,,
ebea1ba7-473c-4b8d-a780-9aae3d2ac0f1,2662,2,00:28:47.729,73,47,130,0.0,2,Ball Recovery,30,Stoke City,1,Regular Play,30,Stoke City,,,['5717beb2-1f05-460e-983a-e41da3b34703'],"[53.2, 78.9]",3298.0,Tom Smith,7.0,Right Wing Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,78.9,,,,,,,,,,
664ae3eb-1146-441c-ae22-cf5044f6e349,2663,2,00:28:47.729,73,47,130,1.876551,43,Carry,30,Stoke City,1,Regular Play,30,Stoke City,,,"['24adb398-22d6-404e-87af-9224b75d034f', 'ebea1ba7-473c-4b8d-a780-9aae3d2ac0f1']","[53.2, 78.9]",3298.0,Tom Smith,7.0,Right Wing Back,,,,,,,,,,,,"[62.4, 77.7]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53.2,78.9,,,,62.4,77.7,,,,,
24adb398-22d6-404e-87af-9224b75d034f,2664,2,00:28:49.606,73,49,130,0.508481,30,Pass,30,Stoke City,1,Regular Play,30,Stoke City,,,['d0c31ade-9af2-4d39-982b-f86b68bbeb57'],"[62.4, 77.7]",3298.0,Tom Smith,7.0,Right Wing Back,5475.0,John Michael Nchekwube Obinna,7.856844,-2.401209,1.0,Ground Pass,"[56.6, 72.4]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,62.4,77.7,,56.6,72.4,,,,,,,
d0c31ade-9af2-4d39-982b-f86b68bbeb57,2665,2,00:28:50.114,73,50,130,,42,Ball Receipt*,30,Stoke City,1,Regular Play,30,Stoke City,,,['24adb398-22d6-404e-87af-9224b75d034f'],"[56.6, 72.4]",5475.0,John Michael Nchekwube Obinna,9.0,Right Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,72.4,,,,,,,,,,
7c454ff8-c3ba-4847-b6bd-766d55607204,2666,2,00:28:50.114,73,50,130,1.390055,43,Carry,30,Stoke City,1,Regular Play,30,Stoke City,,,"['97e57b57-de79-48fd-9ff6-558c99298b45', 'd0c31ade-9af2-4d39-982b-f86b68bbeb57']","[56.6, 72.4]",5475.0,John Michael Nchekwube Obinna,9.0,Right Defensive Midfield,,,,,,,,,,,,"[56.3, 72.4]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.6,72.4,,,,56.3,72.4,,,,,
97e57b57-de79-48fd-9ff6-558c99298b45,2667,2,00:28:51.504,73,51,130,0.981204,30,Pass,30,Stoke City,1,Regular Play,30,Stoke City,,,['2d22e450-0753-4af7-82e3-3df9bbff26ab'],"[56.3, 72.4]",5475.0,John Michael Nchekwube Obinna,9.0,Right Defensive Midfield,9497.0,Jordan Thompson,19.609182,-1.5401937,1.0,Ground Pass,"[56.9, 52.8]",,,40.0,Right Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.3,72.4,,56.9,52.8,,,,,,,
2d22e450-0753-4af7-82e3-3df9bbff26ab,2668,2,00:28:52.485,73,52,130,,42,Ball Receipt*,30,Stoke City,1,Regular Play,30,Stoke City,,,['97e57b57-de79-48fd-9ff6-558c99298b45'],"[56.9, 52.8]",9497.0,Jordan Thompson,11.0,Left Defensive Midfield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,52.8,,,,,,,,,,
8998c8a2-66c8-4850-a699-0a57433a0200,2669,2,00:28:52.485,73,52,130,0.188605,43,Carry,30,Stoke City,1,Regular Play,30,Stoke City,,,"['07559338-a1e7-4a40-b053-6c709f8bb750', '2d22e450-0753-4af7-82e3-3df9bbff26ab']","[56.9, 52.8]",9497.0,Jordan Thompson,11.0,Left Defensive Midfield,,,,,,,,,,,,"[56.9, 52.8]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,52.8,,,,56.9,52.8,,,,,
07559338-a1e7-4a40-b053-6c709f8bb750,2670,2,00:28:52.674,73,52,130,0.731996,30,Pass,30,Stoke City,1,Regular Play,30,Stoke City,,,['a7c95131-5a09-4e3c-8515-bda0cff51076'],"[56.9, 52.8]",9497.0,Jordan Thompson,11.0,Left Defensive Midfield,5475.0,John Michael Nchekwube Obinna,12.801562,1.58642,1.0,Ground Pass,"[56.7, 65.6]",,,38.0,Left Foot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,56.9,52.8,,56.7,65.6,,,,,,,
