Id,Formation,Player_Number,Player_Position,Player_Position_Abv,X,Y,,,,,,
97,4-1-4-1,15,Left Center Midfield,,20,27,,,,,,
98,4-1-4-1,16,Left Midfield,LM,8,27,,,,,,
99,4-1-4-1,23,Center Forward,CF,25,40,,,,,,
100,4-1-2-1-2,1,Goalkeeper,GK,25,5,,,,,,
101,4-1-2-1-2,2,Right Back,RB,42,16,,,,,,
102,4-1-2-1-2,3,Right Center Back,RCB,30,12,,,,,,
103,4-1-2-1-2,5,Left Center Back,LCB,20,12,,,,,,
104,4-1-2-1-2,6,Left Back,LB,8,16,,,,,,
105,4-1-2-1-2,10,Center Defensive Midfield,CDM,25,22,,,,,,
106,4-1-2-1-2,13,Right Center Midfield,,30,27,,,,,,
107,4-1-2-1-2,15,Left Center Midfield,,20,27,,,,,,
108,4-1-2-1-2,19,Center Attacking Midfield,CAM,25,32,,,,,,
109,4-1-2-1-2,22,Right Center Forward,RCF,30,40,,,,,,
110,4-1-2-1-2,24,Left Center Forward,LCF,20,40,,,,,,
111,4-2-1-2-1,1,Goalkeeper,GK,25,5,,,,,,
112,4-2-1-2-1,2,Right Back,RB,42,16,,,,,,
113,4-2-1-2-1,3,Right Center Back,RCB,30,12,,,,,,
114,4-2-1-2-1,5,Left Center Back,LCB,20,12,,,,,,
115,4-2-1-2-1,6,Left Back,LB,8,16,,,,,,
116,4-2-1-2-1,9,Right Defensive Midfield,RDM,32,22,,,,,,
117,4-2-1-2-1,11,Left Defensive Midfield,LDM,18,22,,,,,,
118,4-2-1-2-1,14,Center Midfield,,25,27,,,,,,
119,4-2-1-2-1,17,Right Wing,RW,38,32,,,,,,
120,4-2-1-2-1,21,Left Wing,LW,12,32,,,,,,
121,4-2-1-2-1,23,Center Forward,CF,25,40,,,,,,
122,4-5-1,1,Goalkeeper,GK,25,5,,,,,,
123,4-5-1,2,Right Back,RB,42,16,,,,,,
124,4-5-1,3,Right Center Back,RCB,30,12,,,,,,
125,4-5-1,5,Left Center Back,LCB,20,12,,,,,,
126,4-5-1,6,Left Back,LB,8,16,,,,,,
127,4-5-1,12,Right Midfield,RM,42,27,,,,,,
128,4-5-1,13,Right Center Midfield,,30,27,,,,,,
129,4-5-1,14,Center Midfield,,25,27,,,,,,
130,4-5-1,15,Left Center Midfield,,20,27,,,,,,
